no,ticker,name,industry_code,industry
496,115570,스타플렉스,032202,플라스틱제품 제조업
497,253450,스튜디오드래곤,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
498,087220,스틸플라워,032401,1차 철강 제조업
499,013810,스페코,032902,특수 목적용 기계 제조업
501,049830,승일,032509,기타 금속 가공제품 제조업
502,020710,시공테크,137302,전문디자인업
503,033170,시그네틱스,032601,반도체 제조업
504,048870,시너지이노베이션,032601,반도체 제조업
505,025320,시노펙스,032602,전자부품 제조업
506,269620,시스웍,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
507,131090,시큐브,105802,소프트웨어 개발 및 공급업
508,001000,신라섬유,126801,부동산 임대 및 공급업
509,025870,신라에스지,031002,수산물 가공 및 저장 처리업
510,215600,신라젠,137001,자연과학 및 공학 연구개발업
511,065350,신성델타테크,032805,가정용 기기 제조업
512,056000,신스타임즈,105802,소프트웨어 개발 및 공급업
513,002800,신신제약,032102,의약품 제조업
514,225590,신영스팩2호,116601,금융 지원 서비스업
515,263770,신영스팩3호,116601,금융 지원 서비스업
516,017000,신원종합개발,064101,건물 건설업
517,012790,신일제약,032102,의약품 제조업
518,138070,신진에스엠,032509,기타 금속 가공제품 제조업
519,257730,신한제3호스팩,116601,금융 지원 서비스업
520,277480,신한제4호스팩,116601,금융 지원 서비스업
521,056700,신화인터텍,032202,플라스틱제품 제조업
522,187270,신화콘텍,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
523,243840,신흥에스이씨,032802,일차전지 및 축전지 제조업
524,108320,실리콘웍스,032601,반도체 제조업
525,222800,심텍,032602,전자부품 제조업
526,036710,심텍홀딩스,116409,기타 금융업
527,160980,싸이맥스,032902,특수 목적용 기계 제조업
528,010280,쌍용정보통신,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
529,051170,썬코어,032901,일반 목적용 기계 제조업
530,122800,썬텍,032403,금속 주조업
531,208640,썸에이지,105802,소프트웨어 개발 및 공급업
532,222420,쎄노텍,032309,기타 비금속 광물제품 제조업
533,037760,쎄니트,032401,1차 철강 제조업
534,136510,쎄미시스코,032902,특수 목적용 기계 제조업
535,099320,쎄트렉아이,033103,"항공기,우주선 및 부품 제조업"
536,049960,쎌바이오텍,032101,기초 의약물질 및 생물학적 제제 제조업
537,050890,쏠리드,032604,통신 및 방송 장비 제조업
538,099830,씨그널엔터테인먼트그룹,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
539,066790,씨씨에스,106002,텔레비전 방송업
540,222080,씨아이에스,032902,특수 목적용 기계 제조업
541,264660,씨앤지하이테크,032902,특수 목적용 기계 제조업
542,115530,씨엔플러스,032602,전자부품 제조업
543,225330,씨엠에스에듀,168505,일반 교습 학원
544,115480,씨유메디칼,032701,의료용 기기 제조업
545,096530,씨젠,032103,의료용품 및 기타 의약 관련제품 제조업
546,900120,씨케이에이치,116409,기타 금융업
547,101240,씨큐브,032001,기초 화학물질 제조업
548,047920,씨트리,137001,자연과학 및 공학 연구개발업
549,060590,씨티씨바이오,074604,생활용품 도매업
550,036170,씨티엘,032601,반도체 제조업
551,260930,씨티케이코스메틱스,032004,기타 화학제품 제조업
552,013990,아가방컴퍼니,074604,생활용품 도매업
553,123860,아나패스,032601,반도체 제조업
554,058220,아리온,032604,통신 및 방송 장비 제조업
555,052710,아모텍,032602,전자부품 제조업
556,074430,아미노로직스,074607,기타 전문 도매업
557,092040,아미코젠,031007,기타 식품 제조업
558,083930,아바코,032902,특수 목적용 기계 제조업
559,149950,아바텍,032602,전자부품 제조업
560,036010,아비코전자,032604,통신 및 방송 장비 제조업
561,050860,아세아텍,032902,특수 목적용 기계 제조업
562,246720,아스타,032103,의료용품 및 기타 의약 관련제품 제조업
563,067390,아스트,033103,"항공기,우주선 및 부품 제조업"
